Institute Name,CourseName,Followers,type,Location,Day,Reach
saidemy,ai,12200.0,reel,hyderabad,tuesday,moderate
datamites,data science,12200.0,reel,hyderabad,saturday,moderate
datamites,ai,12200.0,reel,hyderabad,wednesday,moderate
datamites,data science,12200.0,reel,hyderabad,friday,moderate
datamites,data science,12200.0,post,hyderabad,thursday,moderate
datamites,data analytics,12200.0,post,hyderabad,monday,moderate
datamites,data science,12200.0,reel,hyderabad,wednesday,moderate
datamites,ai,12200.0,post,hyderabad,monday,moderate
datamites,ai,12200.0,reel,hyderabad,thursday,moderate
datamites,data analytics,12200.0,post,hyderabad,thursday,moderate
datamites,ai,12200.0,post,hyderabad,monday,moderate
datamites,data analytics,12200.0,reel,hyderabad,friday,moderate
datamites,data science,12200.0,post,hyderabad,saturday,high
datamites,data science,12200.0,reel,hyderabad,friday,low
datamites,data analytics,12200.0,reel,hyderabad,friday,low
datamites,ai,12200.0,post,hyderabad,friday,moderate
datamites,data analytics,12200.0,reel,hyderabad,tuesday,moderate
datamites,data science,12200.0,reel,hyderabad,friday,high
datamites,data science,12200.0,reel,hyderabad,tuesday,low
datamites,data science,12200.0,reel,hyderabad,friday,low
datamites,data science,12200.0,reel,hyderabad,tuesday,moderate
datamites,data science,12200.0,reel,hyderabad,friday,moderate
datamites,data analytics,12200.0,reel,hyderabad,tuesday,high
datamites,data science,12200.0,reel,hyderabad,tuesday,low
datamites,data science,12200.0,post,hyderabad,tuesday,high
datamites,data science,12200.0,post,hyderabad,monday,high
datamites,ai,12200.0,reel,hyderabad,friday,high
datamites,data science,12200.0,reel,hyderabad,wednesday,high
datamites,ai,12200.0,reel,hyderabad,tuesday,high
datamites,data science,12200.0,reel,hyderabad,friday,high
datamites,data science,12200.0,post,hyderabad,friday,high
datamites,data analytics,12200.0,post,hyderabad,monday,high
datamites,data science,12200.0,reel,hyderabad,friday,high
datamites,data science,12200.0,reel,hyderabad,tuesday,high
datamites,data analytics,12200.0,reel,hyderabad,friday,high
datamites,data analytics,12200.0,reel,hyderabad,friday,high
datamites,data science,12200.0,reel,hyderabad,tuesday,high
datamites,data science,12200.0,reel,hyderabad,tuesday,high
datamites,data science,12200.0,reel,hyderabad,friday,high
datamites,ai,12200.0,reel,hyderabad,tuesday,high
cedlearn,data analytics,5618.0,post,hyderabad,wednesday,moderate
cedlearn,data science,5618.0,post,hyderabad,thursday,high
cedlearn,data analytics,10226.0,post,hyderabad,thursday,high
cedlearn,gcp,5618.0,post,hyderabad,monday,high
cedlearn,data science,5618.0,post,hyderabad,thursday,high
cedlearn,data analytics,10226.0,post,hyderabad,monday,high
cedlearn,data analytics,5618.0,post,hyderabad,tuesday,low
saidemy,gcp,5618.0,post,hyderabad,monday,low
saidemy,data science,5618.0,post,hyderabad,saturday,high
cedlearn,data analytics,5618.0,post,hyderabad,tuesday,high
cedlearn,ai,5618.0,reel,hyderabad,saturday,high
cedlearn,data analytics,5618.0,post,hyderabad,thursday,moderate
cedlearn,data science,5618.0,post,hyderabad,thursday,high
cedlearn,data analytics,561.0,post,hyderabad,friday,high
cedlearn,ai,5618.0,post,hyderabad,friday,moderate
cedlearn,gcp,5618.0,reel,hyderabad,saturday,high
cedlearn,data analytics,5618.0,post,hyderabad,friday,high
saidemy,data analytics,5618.0,post,hyderabad,monday,high
elearn infotech,full stack development,746.0,post,hyderabad,thursday,high
elearn infotech,full stack development,746.0,post,hyderabad,saturday,high
elearn infotech,gcp,746.0,post,hyderabad,wednesday,high
saidemy,full stack development,746.0,reel,hyderabad,thursday,low
elearn infotech,full stack development,746.0,post,hyderabad,friday,moderate
elearn infotech,full stack development,746.0,post,hyderabad,saturday,high
elearn infotech,full stack development,746.0,post,hyderabad,sunday,high
elearn infotech,full stack development,746.0,post,hyderabad,monday,low
elearn infotech,full stack development,746.0,post,hyderabad,thursday,high
elearn infotech,gcp,746.0,post,hyderabad,wednesday,high
elearn infotech,full stack development,746.0,post,hyderabad,friday,low
elearn infotech,full stack development,746.0,post,hyderabad,saturday,high
elearn infotech,gcp,746.0,post,hyderabad,monday,low
elearn infotech,full stack development,746.0,post,hyderabad,friday,high
elearn infotech,gcp,746.0,post,hyderabad,saturday,high
innomatics research labs,full stack development,11100.0,post,hyderabad,wednesday,low
innomatics research labs,gcp,11100.0,post,hyderabad,monday,high
innomatics research labs,full stack development,11100.0,post,hyderabad,saturday,low
innomatics research labs,full stack development,111.0,post,hyderabad,monday,high
innomatics research labs,full stack development,11100.0,post,hyderabad,thursday,high
innomatics research labs,full stack development,11100.0,reel,hyderabad,saturday,low
innomatics research labs,full stack development,11100.0,reel,hyderabad,monday,high
innomatics research labs,full stack development,11100.0,reel,hyderabad,tuesday,low
innomatics research labs,full stack development,11100.0,post,hyderabad,saturday,high
innomatics research labs,full stack development,11100.0,post,hyderabad,monday,high
innomatics research labs,full stack development,11100.0,reel,hyderabad,saturday,high
innomatics research labs,full stack development,11100.0,reel,hyderabad,monday,high
innomatics research labs,full stack development,11100.0,post,hyderabad,wednesday,high
innomatics research labs,full stack development,11100.0,post,hyderabad,monday,moderate
naresh i technologies,full stack development,54368.0,post,hyderabad,sunday,high
naresh i technologies,full stack development,54368.0,post,hyderabad,thursday,high
naresh i technologies,full stack development,54368.0,reel,hyderabad,tuesday,low
naresh i technologies,full stack development,54368.0,reel,hyderabad,monday,low
naresh i technologies,full stack development,54368.0,post,hyderabad,wednesday,low
